grade,Marbling,Color,Texture,Surface_Moisture,Total,image_path
등심1++,8.0,8.0,8.0,6.0,8.0,./meat_dataset/등심1++/등심1++_00001.jpg
등심1++,8.0,8.0,8.0,6.0,8.0,./meat_dataset/등심1++/등심1++_00002.jpg
등심1++,8.0,6.0,6.0,6.0,8.0,./meat_dataset/등심1++/등심1++_00003.jpg
등심1++,8.0,6.0,6.0,6.0,8.0,./meat_dataset/등심1++/등심1++_00004.jpg
등심1++,8.0,6.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00005.jpg
등심1++,8.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00006.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00007.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00008.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00009.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00010.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00011.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00012.jpg
등심1++,4.0,8.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00013.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00014.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00015.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00016.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00017.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00018.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00019.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00020.jpg
등심1++,10.0,2.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00021.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00022.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00023.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00024.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00025.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00026.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00027.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00028.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00029.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00030.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00031.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00032.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00033.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00034.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00035.jpg
등심1++,8.0,4.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00037.jpg
등심1++,8.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00038.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00039.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00040.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00041.jpg
등심1++,6.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00042.jpg
등심1++,10.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00043.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00044.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00045.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00046.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00048.jpg
등심1++,8.0,6.0,6.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00049.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00050.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00051.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00052.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00053.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00054.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00055.jpg
등심1++,10.0,2.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00056.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00057.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00058.jpg
등심1++,6.0,6.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00059.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00060.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00061.jpg
등심1++,6.0,8.0,6.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00062.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00063.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00064.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00065.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00067.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00068.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00069.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00070.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00071.jpg
등심1++,2.0,4.0,2.0,8.0,2.0,./meat_dataset/등심1++/등심1++_00072.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00073.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00074.jpg
등심1++,6.0,8.0,6.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00075.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00076.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00077.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00078.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00079.jpg
등심1++,6.0,10.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00080.jpg
등심1++,10.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00081.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00082.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00083.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00084.jpg
