No,grade,Marbling,Color,Texture,Surface_Moisture,Total,image_path
1,등심1++,8.0,8.0,8.0,6.0,8.0,dataset/meat_dataset/등심1++/등심1++_000001.jpg
2,등심1++,8.0,6.0,6.0,6.0,8.0,dataset/meat_dataset/등심1++/등심1++_000003.jpg
3,등심1++,8.0,6.0,6.0,6.0,8.0,dataset/meat_dataset/등심1++/등심1++_000004.jpg
4,등심1++,8.0,6.0,6.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000005.jpg
5,등심1++,8.0,6.0,6.0,4.0,6.0,dataset/meat_dataset/등심1++/등심1++_000006.jpg
6,등심1++,8.0,8.0,6.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000007.jpg
7,등심1++,6.0,8.0,6.0,6.0,6.0,dataset/meat_dataset/등심1++/등심1++_000008.jpg
8,등심1++,6.0,6.0,6.0,4.0,6.0,dataset/meat_dataset/등심1++/등심1++_000009.jpg
9,등심1++,6.0,6.0,6.0,4.0,6.0,dataset/meat_dataset/등심1++/등심1++_000010.jpg
10,등심1++,8.0,4.0,8.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000011.jpg
11,등심1++,8.0,8.0,6.0,4.0,6.0,dataset/meat_dataset/등심1++/등심1++_000012.jpg
12,등심1++,6.0,6.0,6.0,4.0,6.0,dataset/meat_dataset/등심1++/등심1++_000014.jpg
13,등심1++,8.0,6.0,8.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000015.jpg
14,등심1++,8.0,4.0,8.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000016.jpg
15,등심1++,8.0,6.0,8.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000018.jpg
16,등심1++,6.0,8.0,6.0,6.0,6.0,dataset/meat_dataset/등심1++/등심1++_000019.jpg
17,등심1++,8.0,6.0,8.0,4.0,8.0,dataset/meat_dataset/등심1++/등심1++_000020.jpg
18,등심1++,6.0,8.0,6.0,6.0,6.0,dataset/meat_dataset/등심1++/등심1++_000022.jpg
