No,grade,Marbling,Color,Texture,Surface_Moisture,Total,image_path
1,등심2,3.0,7.0,5.0,5.0,4.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(1).JPG
2,등심1+,7.0,8.0,5.0,5.0,5.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(2).JPG
3,등심1+,7.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(3).JPG
4,등심1,6.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(4).JPG
5,등심1+,7.0,8.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(5).JPG
6,등심1+,8.0,5.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(7).JPG
7,등심1,3.0,8.0,5.0,5.0,3.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(8).JPG
8,등심1++,10.0,4.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(9).JPG
9,등심1,4.0,9.0,5.0,5.0,4.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(10).JPG
10,등심1+,5.0,9.0,5.0,5.0,3.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(11).JPG
11,등심1+,6.0,7.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(12).JPG
12,등심1++,9.0,4.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(13).JPG
13,등심1+,8.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(14).JPG
14,등심1,6.0,7.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(15).JPG
15,등심1,6.0,7.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(16).JPG
16,등심1+,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(17).JPG
17,등심1+,8.0,6.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(18).JPG
18,등심1+,8.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(19).JPG
19,등심1+,8.0,6.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(20).JPG
20,등심1+,8.0,6.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(21).JPG
21,등심1+,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(22).JPG
22,등심1+,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(23).JPG
23,등심1+,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(24).JPG
24,등심1,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(25).JPG
25,등심1+,6.0,9.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(26).JPG
26,등심1,6.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(27).JPG
27,등심1,5.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(28).JPG
28,등심1+,6.0,6.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(29).JPG
29,등심1+,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(30).JPG
30,등심1+,7.0,5.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(31).JPG
31,등심1+,7.0,6.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(32).JPG
32,등심1++,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(33).JPG
33,등심1,6.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(35).JPG
34,등심1+,8.0,6.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(36).JPG
35,등심1,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(37).JPG
36,등심2,7.0,8.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(38).JPG
37,등심2,2.0,7.0,5.0,5.0,2.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(39).JPG
38,등심1++,8.0,6.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(40).JPG
39,등심1+,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(42).JPG
40,등심1++,7.0,6.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(43).JPG
41,등심1,6.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(44).JPG
42,등심1++,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(46).JPG
43,등심1,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(48).JPG
44,등심1++,9.0,6.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(49).JPG
45,등심1++,7.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(50).JPG
46,등심1++,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(52).JPG
47,등심1++,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(53).JPG
48,등심1+,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(54).JPG
49,등심1+,7.0,7.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(55).JPG
50,등심1+,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(56).JPG
51,등심1++,9.0,8.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(57).JPG
52,등심1+,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(58).JPG
53,등심1,7.0,7.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(59).JPG
54,등심1++,10.0,8.0,5.0,5.0,10.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(60).JPG
55,등심1++,8.0,8.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(61).JPG
56,등심2,2.0,9.0,5.0,5.0,2.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(62).JPG
57,등심2,3.0,9.0,5.0,5.0,2.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(63).JPG
58,등심2,2.0,9.0,5.0,5.0,2.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(64).JPG
59,등심1++,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(65).JPG
60,등심1+,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(66).JPG
61,등심1+,8.0,6.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(67).JPG
62,등심1+,8.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(68).JPG
63,등심1,9.0,9.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(69).JPG
64,등심1++,10.0,8.0,5.0,5.0,9.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(70).JPG
65,등심1++,10.0,9.0,5.0,5.0,10.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(71).JPG
66,등심1,7.0,9.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(72).JPG
67,등심1++,9.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(73).JPG
68,등심2,2.0,8.0,5.0,5.0,5.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(74).JPG
69,등심1,4.0,8.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(75).JPG
70,등심1+,8.0,8.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(76).JPG
71,등심2,7.0,7.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(77).JPG
72,등심2,7.0,8.0,5.0,5.0,7.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(78).JPG
73,등심2,3.0,9.0,5.0,5.0,6.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(80).JPG
74,등심1+,7.0,8.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(81).JPG
75,등심1+,8.0,7.0,5.0,5.0,8.0,dataset/meat_dataset/20240904/240904_개체사진/240904_(82).JPG
